ich liebe dich .		i love you .
du magst mich .		you like me .
wir essen brot .		we eat bread .
er liest ein buch .		he reads a book .
sie schreibt einen brief .		she writes a letter .
das kind schlaft .		the child sleeps .
die katze trinkt milch .		the cat drinks milk .
wir sehen den film .		we watch the movie .
er kauft ein haus .		he buys a house .
sie lernt deutsch .		she learns german .
ich habe einen hund .		i have a dog .
du kommst aus berlin .		you come from berlin .
wir fahren nach hause .		we go home .
er arbeitet in der stadt .		he works in the city .
sie singt ein lied .		she sings a song .
das wetter ist schon .		the weather is nice .
ich verstehe das nicht .		i do not understand that .
wir trinken kaffee .		we drink coffee .
er offnet die tur .		he opens the door .
sie macht die aufgabe .		she does the homework .
ich sehe den baum .		i see the tree .
du bist mein freund .		you are my friend .
wir gehen spazieren .		we go for a walk .
er hort musik .		he listens to music .
sie kocht das essen .		she cooks the food .
das auto ist schnell .		the car is fast .
ich brauche wasser .		i need water .
du hast zeit .		you have time .
wir sprechen englisch .		we speak english .
er lauft im park .		he runs in the park .
